Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
394;2019;92;1917;False;Sam Mendes & Krysty Wilson-Cairns;;;;
193;1979;52;...And Justice for All.;False;Valerie Curtin & Barry Levinson;;;;
140;1968;41;2001: A Space Odyssey;False;Arthur C. Clarke & Stanley Kubrick;;;;
380;2016;89;20th Century Women;False;Mike Mills;;;;
113;1963;36;8½;False;Federico Fellini, Ennio Flaiano, Tullio Pinelli & Brunello Rondi;;;;
37;1947;20;A Double Life;False;;;;;
239;1988;61;A Fish Called Wanda;False;Screenplay: John Cleese;;;;
117;1964;37;A Hard Day's Night;False;Alun Owen;;;;
126;1966;39;A Man and a Woman;True;Screenplay: Claude Lelouch & Pierre Uytterhoeven;;;;
355;2011;84;A Separation;False;Asghar Farhadi;;;;
344;2009;82;A Serious Man;False;Coen Brothers;;;;
165;1973;46;A Touch of Class;False;Melvin Frank & Jack Rose;;;;
202;1981;54;Absence of Malice;False;Kurt Luedtke;;;;
52;1951;24;Ace in the Hole;False;Walter Newman, Lesser Samuels & Billy Wilder;;;;
47;1950;23;Adam's Rib;False;Ruth Gordon & Garson Kanin;;;;
16;1943;16;Air Force;False;;;;;
247;1990;63;Alice;False;Woody Allen;;;;
167;1974;47;Alice Doesn't Live Here Anymore;False;Robert Getchell;;;;
192;1979;52;All That Jazz;False;Robert Alan Aurthur & Bob Fosse;;;;
296;2000;73;Almost Famous;True;Cameron Crowe‡;;;;
302;2001;74;Amélie;False;Screenplay: Jean-Pierre Jeunet & Guillaume Laurant;;;;
172;1975;48;Amarcord;False;Federico Fellini & Tonino Guerra;;;;
112;1963;36;America America;False;Elia Kazan;;;;
291;1999;72;American Beauty;True;Alan Ball‡;;;;
162;1973;46;American Graffiti;False;Willard Huyck, George Lucas & Gloria Katz;;;;
362;2013;86;American Hustle;False;David O. Russell & Eric Warren Singer;;;;
357;2012;85;Amour;False;Michael Haneke;;;;
51;1951;24;An American in Paris;True;Alan Jay Lerner‡;;;;
209;1982;55;An Officer and a Gentleman;False;Douglas Day Stewart;;;;
190;1978;51;An Unmarried Woman;False;Paul Mazursky;;;;
412;2023;96;Anatomy of a Fall;False;Arthur Harari & Justine Triet;;;;
173;1975;48;And Now My Love;False;Claude Lelouch & Pierre Uytterhoeven;;;;
1;1940;13;Angels Over Broadway;False;;;;;
181;1977;50;Annie Hall;True;Woody Allen & Marshall Brickman;;;;
347;2010;83;Another Year;False;Mike Leigh;;;;
203;1981;54;Arthur;False;Steve Gordon;;;;
282;1997;70;As Good as It Gets;False;Screenplay: Mark Andrus & James L. Brooks;;;;
204;1981;54;Atlantic City;False;John Guare;;;;
232;1987;60;Au Revoir Les Enfants (Goodbye, Children);False;Louis Malle;;;;
187;1978;51;Autumn Sonata;False;Ingmar Bergman;;;;
248;1990;63;Avalon;False;Barry Levinson;;;;
327;2006;79;Babel;False;Guillermo Arriaga;;;;
222;1985;58;Back to the Future;False;Bob Gale & Robert Zemeckis;;;;
102;1961;34;Ballad of a Soldier;False;Grigory Chukhray & Valentin Yezhov;;;;
41;1949;22;Battleground;True;;;;;
292;1999;72;Being John Malkovich;False;Charlie Kaufman;;;;
402;2021;94;Belfast;True;Kenneth Branagh‡;;;;
217;1984;57;Beverly Hills Cop;False;Screenplay: Daniel Petrie Jr.;;;;
237;1988;61;Big;False;Gary Ross & Anne Spielberg;;;;
297;2000;73;Billy Elliot;False;Lee Hall;;;;
366;2014;87;Birdman;True;Armando Bo, Alexander Dinelaris Jr., Nicolás Giacobone & Alejandro G. Iñárritu‡;;;;
