id;Year;Edition;Film;Song;Nominees;Won
380;1991;64;Robin Hood: Prince of Thieves;(Everything I Do) I Do It for You;Michael Kamen (music);
535;2019;92;Rocketman;(I'm Gonna) Love Me Again;Elton John (music);
65;1942;15;Orchestra Wives;(I've Got a Gal in) Kalamazoo;Harry Warren (music);
354;1987;60;Dirty Dancing;(I've Had) The Time of My Life;John DeNicola, Donald Markowitz & Franke Previte (music);
165;1955;28;The Tender Trap;(Love Is) The Tender Trap;Jimmy Van Heusen (music);
313;1980;53;9 to 5;9 to 5;Dolly Parton (music & lyrics);False
181;1958;31;A Certain Smile;A Certain Smile;Sammy Fain (music);
434;2000;73;Meet the Parents;A Fool in Love;Randy Newman (music & lyrics);False
118;1947;20;The Time, the Place and the Girl;A Gal in Calico;Arthur Schwartz (music);
451;2003;76;A Mighty Wind;A Kiss at the End of the Rainbow;Michael McKean & Annette O'Toole (music & lyrics);False
142;1951;24;The Strip;A Kiss to Build a Dream On;Bert Kalmar (p.n.), Oscar Hammerstein II & Harry Ruby (music & lyrics);False
431;2000;73;Crouching Tiger, Hidden Dragon;A Love Before Time;Jorge Calandrelli & Tan Dun (music);
14;1936;9;The Trail of the Lonesome Pine;A Melody from the Sky;Louis Alter (music);
27;1938;11;The Lady Objects;A Mist Is Over the Moon;Ben Oakland (music);
421;1998;71;The Horse Whisperer;A Soft Place to Fall;Allison Moorer & Gwil Owen (music & lyrics);False
230;1966;39;An American Dream;A Time for Love;Johnny Mandel (music);
183;1958;31;Marjorie Morningstar;A Very Precious Love;Fain (music);
382;1992;65;Aladdin;A Whole New World;Alan Menken (music);
392;1993;66;Sleepless in Seattle;A Wink and a Smile;Marc Shaiman (music);
289;1976;49;Half a House;A World That Never Was;Sammy Fain (music);
99;1945;18;Here Come the Waves;Ac-Cent-Tchu-Ate the Positive;Harold Arlen (music);
458;2004;77;Shrek 2;Accidentally in Love;Counting Crows (music);
365;1989;62;Chances Are;After All;Tom Snow (music);
391;1993;66;Poetic Justice;Again;Janet Jackson, Jimmy Jam & Terry Lewis (music & lyrics);False
