id;Year;Edition;Film;Art director(s);Won;Interior decorator(s);Set decorator(s);Production designer(s)
3;1927;1;7th Heaven;Harry Oliver;False;;;
4;1927;1;Sunrise: A Song of Two Humans;Rochus Gliese;False;;;
2;1927;1;Tempest;William Cameron Menzies;True;;;
1;1927;1;The Dove;William Cameron Menzies;True;;;
7;1928;2;Alibi;William Cameron Menzies;False;;;
9;1928;2;Dynamite;Mitchell Leisen;False;;;
11;1928;2;Street Angel;Harry Oliver;False;;;
8;1928;2;The Awakening;William Cameron Menzies;False;;;
6;1928;2;The Bridge of San Luis Rey;Cedric Gibbons;True;;;
10;1928;2;The Patriot;Hans Dreier;False;;;
14;1929;3;Bulldog Drummond;William Cameron Menzies;False;;;
13;1929;3;King of Jazz;Herman Rosse;True;;;
16;1929;3;Sally;Jack Okey;False;;;
15;1929;3;The Love Parade;Hans Dreier;False;;;
17;1929;3;The Vagabond King;Hans Dreier;False;;;
19;1930;4;Cimarron;Max Rée;True;;;
20;1930;4;Just Imagine;Stephen Goosson and Ralph Hammeras;False;;;
21;1930;4;Morocco;Hans Dreier;False;;;
22;1930;4;Svengali;Anton Grot;False;;;
23;1930;4;Whoopee!;Richard Day;False;;;
27;1931;5;À Nous la Liberté;Lazare Meerson;False;;;
26;1931;5;Arrowsmith;Richard Day;False;;;
25;1931;5;Transatlantic;Gordon Wiles;True;;;
30;1932;6;A Farewell to Arms;Hans Dreier and Roland Anderson;False;;;
29;1932;6;Cavalcade;William S. Darling;True;;;
31;1932;6;When Ladies Meet;Cedric Gibbons;False;;;
34;1934;7;The Affairs of Cellini;Richard Day;False;;;
35;1934;7;The Gay Divorcee;Van Nest Polglase and Carroll Clark;False;;;
33;1934;7;The Merry Widow;Cedric Gibbons and Fredric Hope;True;;;
37;1935;8;The Dark Angel;Richard Day;True;;;
38;1935;8;The Lives of a Bengal Lancer;Hans Dreier and Roland Anderson;False;;;
39;1935;8;Top Hat;Carroll Clark and Van Nest Polglase;False;;;
42;1936;9;Anthony Adverse;Anton Grot;False;;;
41;1936;9;Dodsworth;Richard Day;True;;;
44;1936;9;Lloyd's of London;William S. Darling;False;;;
46;1936;9;Romeo and Juliet;Cedric Gibbons, Fredric Hope and Edwin B. Willis;False;;;
43;1936;9;The Great Ziegfeld;Cedric Gibbons, Eddie Imazu and Edwin B. Willis;False;;;
45;1936;9;The Magnificent Brute;Albert S. D'Agostino and Jack Otterson;False;;;
47;1936;9;Winterset;Perry Ferguson;False;;;
51;1937;10;A Damsel in Distress;Carroll Clark;False;;;
50;1937;10;Conquest;Cedric Gibbons and William A. Horning;False;;;
52;1937;10;Dead End;Richard Day;False;;;
53;1937;10;Every Day's a Holiday;Wiard Ihnen;False;;;
49;1937;10;Lost Horizon;Stephen Goosson;True;;;
55;1937;10;Manhattan Merry-Go-Round;John Victor Mackay;False;;;
57;1937;10;Souls at Sea;Hans Dreier and Roland Anderson;False;;;
54;1937;10;The Life of Emile Zola;Anton Grot;False;;;
56;1937;10;The Prisoner of Zenda;Lyle R. Wheeler;False;;;
58;1937;10;Walter Wanger's Vogues of 1938;Alexander Toluboff;False;;;
59;1937;10;Wee Willie Winkie;William S. Darling and David S. Hall;False;;;
60;1937;10;You're a Sweetheart;Jack Otterson;False;;;
64;1938;11;Alexander's Ragtime Band;Bernard Herzbrun and Boris Leven;False;;;
65;1938;11;Algiers;Alexander Toluboff;False;;;
66;1938;11;Carefree;Van Nest Polglase;False;;;
68;1938;11;Holiday;Stephen Goosson and Lionel Banks;False;;;
69;1938;11;If I Were King;Hans Dreier and John B. Goodman;False;;;
70;1938;11;Mad About Music;Jack Otterson;False;;;
71;1938;11;Marie Antoinette;Cedric Gibbons;False;;;
72;1938;11;Merrily We Live;Charles D. Hall;False;;;
62;1938;11;The Adventures of Robin Hood;Carl Jules Weyl;True;;;
63;1938;11;The Adventures of Tom Sawyer;Lyle R. Wheeler;False;;;
67;1938;11;The Goldwyn Follies;Richard Day;False;;;
75;1939;12;Beau Geste;Hans Dreier and Robert Odell;False;;;
76;1939;12;Captain Fury;Charles D. Hall;False;;;
77;1939;12;First Love;Jack Otterson and Martin Obzina;False;;;
74;1939;12;Gone with the Wind;Lyle R. Wheeler;True;;;
78;1939;12;Love Affair;Van Nest Polglase and Alfred Herman;False;;;
79;1939;12;Man of Conquest;John Victor Mackay;False;;;
80;1939;12;Mr. Smith Goes to Washington;Lionel Banks;False;;;
83;1939;12;Stagecoach;Alexander Toluboff;False;;;
81;1939;12;The Private Lives of Elizabeth and Essex;Anton Grot;False;;;
82;1939;12;The Rains Came;William S. Darling and George Dudley;False;;;
84;1939;12;The Wizard of Oz;Cedric Gibbons and William A. Horning;False;;;
85;1939;12;Wuthering Heights;James Basevi;False;;;
88;1940;13;Arise, My Love;Hans Dreier and Robert Usher;False;;;
