Id;Year;Edition;Film;Nominees;Won
336;2019;92;1917;Guillaume Rocheron, Greg Butler, and Dominic Tuohy;True
166;1979;52;1941;William A. Fraker, A. D. Flowers, and Gregory Jein;False
183;1984;57;2010;Richard Edlund, Neil Krepela, George Jenson, and Mark Stetson;False
93;1954;27;20,000 Leagues Under the Sea;Walt Disney Studios;True
137;1968;41;2001: A Space Odyssey;Stanley Kubrick;True
126;1964;37;7 Faces of Dr. Lao;Jim Danforth;False
73;1946;19;A Stolen Life;William McGann (visual);
70;1945;18;A Thousand and One Nights;Lawrence W. Butler (photographic);
38;1941;14;A Yank in the R.A.F.;Fred Sersen (photographic);
247;2001;74;A.I. Artificial Intelligence;Dennis Muren, Scott Farrar, Stan Winston, and Michael Lantieri;False
52;1943;16;Air Force;Hans Koenekamp and Rex Wimpy (photographic);
283;2010;83;Alice in Wonderland;Ken Ralston, David Schaub, Carey Villegas, and Sean Phillips;False
165;1979;52;Alien;H. R. Giger, Carlo Rambaldi, Brian Johnson, Nick Allder, and Dennis Ayling;True
212;1992;65;Alien 3;Richard Edlund, Alec Gillis, Tom Woodruff Jr., and George Gibbs;False
190;1986;59;Aliens;Robert Skotak, Stan Winston, John Richardson, and Suzanne M. Benson;True
355;2022;95;All Quiet on the Western Front;Frank Petzold, Viktor Müller, Markus Frank, and Kamil Jafar;False
31;1941;14;Aloma of the South Seas;Farciot Edouart and Gordon Jennings (photographic);
224;1995;68;Apollo 13;Robert Legato, Michael Kanfer, Leslie Ekker, and Matt Sweeney;False
235;1998;71;Armageddon;Richard R. Hoover, Patrick McClung, and John Frazier;False
278;2009;82;Avatar;Joe Letteri, Stephen Rosenbaum, Richard Baneham, and Andrew R. Jones;True
354;2022;95;Avatar: The Way of Water;Joe Letteri, Richard Baneham, Eric Saindon, and Daniel Barrett;True
337;2019;92;Avengers: Endgame;Dan DeLeeuw, Russell Earl, Matt Aitken, and Dan Sudick;False
331;2018;91;Avengers: Infinity War;Dan DeLeeuw, Kelly Port, Russell Earl, and Dan Sudick;False
223;1995;68;Babe;Scott E. Anderson, Charles Gibson, Neal Scanlan, and John Cox;True
203;1989;62;Back to the Future Part II;Ken Ralston, Michael Lantieri, John Bell, and Steve Gawley;False
208;1991;64;Backdraft;Mikael Salomon, Allen Hall, Clay Pinney, and Scott Farrar;False
213;1992;65;Batman Returns;Michael L. Fink, Craig Barron, John Bruno, and Dennis Skotak;False
146;1971;44;Bedknobs and Broomsticks;Alan Maley, Eustace Lycett, and Danny Lee;True
110;1959;32;Ben-Hur;A. Arnold Gillespie and Robert MacDonald (visual);
357;2022;95;Black Panther: Wakanda Forever;Geoffrey Baumann, Craig Hammack, R. Christopher White, and Dan Sudick;False
177;1982;55;Blade Runner;Douglas Trumbull, Richard Yuricich, and David Dryer;False
324;2017;90;Blade Runner 2049;John Nelson, Gerd Nefzer, Paul Lambert, and Richard R. Hoover;True
72;1946;19;Blithe Spirit;Thomas Howard (visual);True
53;1943;16;Bombardier;Vernon L. Walker (photographic);
17;1940;13;Boom Town;A. Arnold Gillespie (photographic);
307;2014;87;Captain America: The Winter Soldier;Dan DeLeeuw, Russell Earl, Bryan Grill, and Dan Sudick;False
67;1945;18;Captain Eddie;Fred Sersen and Sol Halperin (photographic);
332;2018;91;Christopher Robin;Christopher Lawrence, Mike Eames, Theo Jones, and Chris Corbould;False
122;1963;36;Cleopatra;Emil Kosa Jr.;True
216;1993;66;Cliffhanger;Neil Krepela, John Richardson, John Bruno, and Pamela Easley;False
161;1977;50;Close Encounters of the Third Kind;Roy Arbogast, Douglas Trumbull, Matthew Yuricich, Gregory Jein, and Richard Yuricich;False
186;1985;58;Cocoon;Ken Ralston, Ralph McQuarrie, Scott Farrar, and David Berry;True
51;1943;16;Crash Dive;Fred Sersen (photographic);
308;2014;87;Dawn of the Planet of the Apes;Joe Letteri, Dan Lemmon, Daniel Barrett, and Erik Winquist;False
60;1944;17;Days of Glory;Vernon L. Walker (photographic);
211;1992;65;Death Becomes Her;Ken Ralston, Doug Chiang, Douglas Smythe, and Tom Woodruff Jr.;True
79;1948;21;Deep Waters;Ralph Hammeras, Fred Sersen, and Edward Snyder (visual);
319;2016;89;Deepwater Horizon;Craig Hammack, Jason Snell, Jason Billington, and Burt Dalton;False
42;1942;15;Desperate Journey;Byron Haskin (photographic);
84;1950;23;Destination Moon;George Pal Productions;True
198;1988;61;Die Hard;Richard Edlund, Al DiSarro, Brent Boates, and Thaine Morris;False
279;2009;82;District 9;Dan Kaufman, Peter Muyzers, Robert Habros, and Matt Aitken;False
32;1941;14;Dive Bomber (Nomination withdrawn) [note 5][8];Byron Haskin (photographic);
134;1967;40;Doctor Dolittle;L. B. Abbott;True
320;2016;89;Doctor Strange;Stephane Ceretti, Richard Bluff, Vincent Cirelli, and Paul Corbould;False
19;1940;13;Dr. Cyclops;Gordon Jennings and Farciot Edouart (photographic);False
227;1996;69;Dragonheart;Scott Squires, Phil Tippett, James Straus, and Kit West;False
174;1981;54;Dragonslayer;Dennis Muren, Phil Tippett, Ken Ralston, and Brian Johnson;False
348;2021;94;Dune;Paul Lambert, Tristan Myles, Brian Connor, and Gerd Nefzer;True
176;1982;55;E.T. the Extra-Terrestrial;Carlo Rambaldi, Dennis Muren, and Kenneth F. Smith;True
153;1974;47;Earthquake [note 3];Frank Brendel, Glen Robinson, and Albert Whitlock;False
312;2015;88;Ex Machina;Mark Williams Ardington, Sara Bennett, Paul Norris, and Andrew Whitehurst;True
131;1966;39;Fantastic Voyage;Art Cruickshank;True
330;2018;91;First Man;Paul Lambert, Ian Hunter, Tristan Myles, and J. D. Schwalm;True
33;1941;14;Flight Command;A. Arnold Gillespie (photographic);
43;1942;15;Flying Tigers;Howard Lydecker (photographic);
102;1956;29;Forbidden Planet;A. Arnold Gillespie, Irving G. Ries, and Wesley C. Miller;False
20;1940;13;Foreign Correspondent;Paul Eagler (photographic);
219;1994;67;Forrest Gump;Ken Ralston, George Murphy, Stephen Rosenbaum, and Allen Hall;True
349;2021;94;Free Guy;Swen Gillberg, Bryan Grill, Nikos Kalaitzidis, and Dan Sudick;False
184;1984;57;Ghostbusters;Richard Edlund, John Bruno, Mark Vargo, and Chuck Gaspar;False
242;2000;73;Gladiator;John Nelson, Neil Corbould, Tim Burke, and Rob Harvey;True
361;2023;96;Godzilla Minus One;Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima;False
8;1939;12;Gone with the Wind;Jack Cosgrove (photographic);
300;2013;86;Gravity;Tim Webber, Chris Lawrence, Dave Shirk, and Neil Corbould;True
75;1947;20;Green Dolphin Street;A. Arnold Gillespie and Warren Newcombe (visual);
309;2014;87;Guardians of the Galaxy;Stephane Ceretti, Nicolas Aithadi, Jonathan Fawkner, and Paul Corbould;False
325;2017;90;Guardians of the Galaxy Vol. 2;Christopher Townsend, Guy Williams, Jonathan Fawkner, and Dan Sudick;False
362;2023;96;Guardians of the Galaxy Vol. 3;Stephane Ceretti, Alexis Wajsbrot, Guy Williams and Theo Bialek;False
284;2010;83;Harry Potter and the Deathly Hallows – Part 1;Tim Burke, John Richardson, Christian Manz, and Nicolas Aithadi;False
289;2011;84;Harry Potter and the Deathly Hallows – Part 2;Tim Burke, David Vickery, Greg Butler, and John Richardson;False
259;2004;77;Harry Potter and the Prisoner of Azkaban;Roger Guyett, Tim Burke, John Richardson, and William George;False
132;1966;39;Hawaii;Linwood G. Dunn;False
94;1954;27;Hell and High Water;20th Century-Fox Studio;False
285;2010;83;Hereafter;Michael Owens, Bryan Grill, Stephan Trojansky, and Joe Farrell;False
243;2000;73;Hollow Man;Scott E. Anderson, Craig Hayes, Scott Stokdyk, and Stan Parks;False
209;1991;64;Hook;Eric Brevig, Harley Jessup, Mark Sullivan, and Michael Lantieri;False
288;2011;84;Hugo;Robert Legato, Joss Williams, Ben Grossmann, and Alex Henning;True
30;1941;14;I Wanted Wings;Farciot Edouart and Gordon Jennings (photographic);
260;2004;77;I, Robot;John Nelson, Andrew R. Jones, Erik Nash, and Joe Letteri;False
138;1968;41;Ice Station Zebra;Hal Millar and Joseph McMillan Johnson;False
282;2010;83;Inception;Paul Franklin, Chris Corbould, Andrew Lockley, and Peter Bebb;True
226;1996;69;Independence Day;Volker Engel, Douglas Smith, Clay Pinney, and Joseph Viskocil;True
182;1984;57;Indiana Jones and the Temple of Doom;Dennis Muren, Michael J. McAlister, Lorne Peterson, and George Gibbs;True
194;1987;60;Innerspace;Dennis Muren, William George, Harley Jessup, and Kenneth F. Smith;True
306;2014;87;Interstellar;Paul Franklin, Andrew Lockley, Ian Hunter, and Scott R. Fisher;True
44;1942;15;Invisible Agent;John Fulton (photographic);
276;2008;81;Iron Man;John Nelson, Ben Snow, Dan Sudick, and Shane Mahan;False
286;2010;83;Iron Man 2;Janek Sirrs, Ben Snow, Ged Wright, and Dan Sudick;False
302;2013;86;Iron Man 3;Christopher Townsend, Guy Williams, Erik Nash, and Dan Sudick;False
111;1959;32;Journey to the Center of the Earth;L. B. Abbott and James B. Gordon (visual);
45;1942;15;Jungle Book;Lawrence Butler (photographic);
215;1993;66;Jurassic Park;Dennis Muren, Stan Winston, Phil Tippett, and Michael Lantieri;True
262;2005;78;King Kong;Joe Letteri, Brian Van't Hul, Christian Rivers, and Richard Taylor;True
157;1976;49;King Kong [note 3];Carlo Rambaldi, Glen Robinson, and Frank Van der Veer;False
326;2017;90;Kong: Skull Island;Stephen Rosenbaum, Jeff White, Scott Benza, and Mike Meinardus;False
141;1969;42;Krakatoa, East of Java;Eugène Lourié and Alex Weldon;False
321;2016;89;Kubo and the Two Strings;Steve Emerson, Oliver Jones, Brian McLean, and Brad Schiff;False
294;2012;85;Life of Pi;Bill Westenhofer, Guillaume Rocheron, Erik-Jan de Boer, and Donald R. Elliott;True
191;1986;59;Little Shop of Horrors;Lyle Conway, Bran Ferren, and Martin Gutterridge;False
158;1976;49;Logan's Run [note 3];L. B. Abbott, Glen Robinson, and Matthew Yuricich;False
343;2020;93;Love and Monsters;Matt Sloan, Genevieve Camilleri, Matt Everitt, and Brian Cox;False
313;2015;88;Mad Max: Fury Road;Andrew Jackson, Dan Oliver, Andy Williams, and Tom Wood;False
140;1969;42;Marooned;Robie Robertson;True
296;2012;85;Marvel's The Avengers;Janek Sirrs, Jeff White, Guy Williams, and Dan Sudick;False
125;1964;37;Mary Poppins;Peter Ellenshaw, Eustace Lycett, and Hamilton Luske;True
255;2003;76;Master and Commander: The Far Side of the World;Dan Sudick, Stefen Fangmeier, Nathan McGuinness, and Robert Stromberg;False
81;1949;22;Mighty Joe Young;RKO Productions;True
236;1998;71;Mighty Joe Young;Rick Baker, Hoyt Yeatman, Allen Hall, and Jim Mitchell;False
363;2023;96;Mission: Impossible – Dead Reckoning Part One;Alex Wuttke, Simone Coco, Jeff Sutherland and Neil Corbould;False
168;1979;52;Moonraker;Derek Meddings, Paul Wilson, and John Evans;False
46;1942;15;Mrs. Miniver;A. Arnold Gillespie and Warren Newcombe (photographic);
